city,company_size,position,level,experience,raise_period,office,hybrid,remote,mean_salary,JavaScript / TypeScript and related frameworks,C# / .NET,Java and related frameworks,Python,PHP,"C, C++",Kotlin,Swift,Golang,Flutter
0,1,Backend Development,2,3,1.0,no,no,yes,1547,0,0,0,0,1,0,0,0,0,0
1,1,Backend Development,1,2,1.0,no,no,yes,698,0,1,0,1,0,0,0,0,0,0
0,1,Full Stack Development,3,8,2.0,yes,no,no,2562,1,0,1,0,1,0,0,0,0,0
0,1,Full Stack Development,3,5,2.0,no,no,yes,4890,1,1,1,1,0,0,0,0,0,0
0,1,Backend Development,1,2,1.0,no,no,yes,1630,0,0,0,0,0,0,0,0,1,0
1,2,Full Stack Development,1,2,2.0,no,no,yes,1041,0,1,0,0,0,0,0,0,0,0
0,1,Backend Development,3,4,2.0,no,no,yes,2406,0,1,0,0,0,0,0,0,0,0
0,1,Full Stack Development,3,7,1.0,no,no,yes,1878,1,1,1,0,0,0,0,0,1,0
1,1,Frontend Development,2,3,2.0,no,no,yes,2096,1,0,1,0,0,0,0,0,0,0
1,2,Software Development,2,3,2.0,no,yes,no,2915,1,0,0,0,0,0,0,0,0,0
0,1,Quality Assurance / Testing,1,1,1.0,yes,no,no,612,0,0,0,0,0,0,0,0,0,0
1,2,Business Analysis,3,4,2.0,no,yes,no,1547,0,0,0,0,0,0,0,0,0,0
0,1,Full Stack Development,3,6,1.0,no,no,yes,2313,0,1,0,0,0,0,0,0,0,0
1,1,Mobile Development,3,3,1.0,no,yes,no,2326,1,0,0,0,0,0,0,0,0,0
1,1,Frontend Development,3,6,2.0,no,no,yes,947,1,0,1,0,0,0,0,0,0,0
1,1,Architectural Roles,3,6,2.0,no,no,yes,3338,1,0,1,0,0,0,0,0,0,0
1,1,Backend Development,3,7,2.0,yes,no,no,2717,0,0,0,0,0,0,0,0,1,0
1,1,Full Stack Development,2,2,2.0,no,yes,no,1547,1,1,0,0,0,0,0,0,0,0
0,2,SAP/ABAP Development,1,2,2.0,no,yes,no,764,0,0,0,0,0,0,0,0,0,0
1,1,Data Science,2,3,1.0,no,no,yes,2406,0,0,0,1,0,0,0,0,0,0
1,1,Mobile Development,3,3,2.0,no,no,yes,2189,0,0,0,0,0,0,0,0,0,1
1,2,Backend Development,2,3,1.0,no,no,yes,1547,0,0,0,1,1,0,0,0,1,0
1,1,Mobile Development,3,5,2.0,no,no,yes,3959,0,0,0,0,0,0,1,0,0,0
1,3,Frontend Development,2,3,2.0,no,yes,no,2326,1,0,0,0,0,0,0,0,0,0
0,1,Uncategorized / Other,3,5,3.0,no,no,yes,138777,0,1,0,1,0,1,0,0,0,0
1,1,Embedded Systems,1,2,2.0,no,no,yes,1568,0,0,0,1,0,0,0,0,0,0
1,1,Full Stack Development,2,2,1.0,no,no,yes,1226,0,1,0,0,0,0,0,0,0,0
1,1,Backend Development,2,2,1.0,no,no,yes,1272,0,0,1,0,0,0,0,0,0,0
