city,company_size,position,level,experience,raise_period,office,hybrid,remote,mean_salary,JavaScript / TypeScript and related frameworks,C# / .NET,Java and related frameworks,Python,PHP,"C, C++",Kotlin,Swift,Golang,Flutter
0,1,Backend Development,3,8,1.0,no,no,yes,6739,1,1,0,0,0,0,0,0,0,0
0,1,Full Stack Development,2,2,2.0,no,no,yes,636,1,0,1,0,1,0,0,0,0,0
1,1,Backend Development,3,8,2.0,yes,no,no,1896,0,1,0,0,0,0,0,0,0,0
1,1,Uncategorized / Other,3,8,2.0,no,yes,no,2915,0,0,0,0,0,0,0,0,0,0
1,2,Team and Technical Leadership,3,6,2.0,no,no,yes,4309,0,0,0,1,0,0,0,0,0,0
1,1,Executive Roles,3,3,1.0,yes,no,no,1816,0,1,0,0,0,0,0,0,0,0
0,1,Data Analysis,2,2,2.0,no,no,yes,1071,0,0,0,1,0,0,0,0,0,0
0,1,Executive Roles,3,8,1.0,yes,no,no,2915,1,1,0,0,0,0,0,0,0,0
1,2,Mobile Development,3,3,2.0,no,no,yes,1041,0,0,0,0,1,0,1,1,0,0
1,4,Frontend Development,2,3,4.0,no,yes,no,1896,1,0,0,0,0,0,0,0,0,0
1,3,Backend Development,3,4,2.0,no,yes,no,2915,0,0,1,0,0,0,0,0,0,0
0,1,Frontend Development,3,5,2.0,yes,no,no,4736,1,0,1,0,0,0,0,0,0,0
1,1,Backend Development,3,6,2.0,yes,no,no,2326,1,1,0,0,0,0,0,0,0,0
0,1,Backend Development,3,6,2.0,no,no,yes,3493,0,1,0,0,1,0,0,0,0,0
1,2,Backend Development,1,1,1.0,yes,no,no,1041,0,1,0,0,0,0,0,0,0,0
1,1,Management Roles,3,8,2.0,no,no,yes,4270,0,1,0,1,0,0,0,0,0,0
1,1,Product Management,3,4,3.0,no,no,yes,5512,1,1,1,0,0,0,0,0,0,0
0,2,Business Analysis,2,3,1.0,no,no,yes,2326,0,0,0,1,0,0,0,0,0,0
1,1,Backend Development,1,2,2.0,no,no,yes,1630,0,0,1,0,0,0,0,0,0,0
0,2,DevOps,2,3,1.0,no,no,yes,5357,0,1,0,0,1,1,0,0,0,0
0,1,Full Stack Development,1,1,1.0,yes,no,no,612,1,0,0,1,0,0,0,0,0,0
